SEZIONE,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MASTELLA NOI DI CENTRO EUROPEISTI,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,PIU-EUROPA,TOTALE,AFFLUENZA
1,23,100,29,128,5,5,2,14,1,60,4,83,12,5,471,0.5946969696969697
2,11,80,51,87,7,4,6,5,1,83,1,90,18,12,456,0.5364705882352941
3,21,123,47,111,10,5,7,10,3,71,3,90,18,15,534,0.5650793650793651
4,9,46,14,54,2,11,0,8,0,69,0,47,7,0,267,0.3967310549777117
5,17,113,15,58,5,4,6,6,0,81,1,125,17,22,470,0.5781057810578106
6,18,34,29,37,12,3,3,17,1,131,1,44,29,2,361,0.4429447852760736
7,39,37,25,41,2,9,4,13,0,106,1,75,19,13,384,0.4942084942084942
8,23,20,35,56,6,2,4,14,0,149,1,36,14,3,363,0.4475955610357583
9,17,8,20,31,10,3,6,15,0,172,1,63,15,12,373,0.3993576017130621
10,11,25,10,30,13,5,7,15,1,172,0,57,20,11,377,0.4445754716981132
11,7,11,10,37,16,1,2,10,0,132,0,43,7,6,282,0.4034334763948498
12,17,16,29,40,13,1,4,5,0,154,0,50,12,2,343,0.4162621359223301
13,12,20,22,50,14,6,8,18,1,128,2,72,25,7,385,0.4842767295597484
14,19,41,20,38,10,2,3,9,0,109,1,77,23,8,360,0.5240174672489083
15,15,24,28,54,9,0,2,11,1,156,0,47,12,7,366,0.4144960362400906
16,21,16,25,66,15,7,4,11,1,145,3,56,13,12,395,0.4493742889647326
17,7,35,34,83,5,3,5,9,0,61,3,50,12,16,323,0.4938837920489297
18,10,62,30,61,4,7,4,9,4,98,5,89,11,10,404,0.5771428571428572
19,11,99,32,94,6,6,5,6,1,50,4,102,12,27,455,0.5752212389380531
20,27,102,54,104,12,11,3,10,2,74,5,106,10,18,538,0.619815668202765
21,26,137,52,109,7,6,1,11,0,77,5,135,9,16,591,0.6480263157894737
22,17,132,59,123,4,8,2,7,1,66,7,74,16,12,528,0.6795366795366795
23,23,168,72,173,9,6,3,12,2,54,13,108,13,15,671,0.6669980119284294
24,23,68,22,61,8,6,3,6,1,88,2,68,6,11,373,0.4946949602122016
25,26,58,43,74,3,3,2,10,2,130,5,82,9,4,451,0.5005549389567148
26,30,74,31,96,4,1,2,5,0,119,6,115,14,8,505,0.5424274973147154
27,30,132,51,113,8,8,6,7,0,65,4,141,23,19,607,0.6533907427341227
28,20,118,24,89,8,4,5,8,0,55,2,112,10,15,470,0.6308724832214765
29,18,80,45,92,5,3,5,6,0,69,2,76,10,11,422,0.6374622356495468
30,18,60,39,64,6,4,1,10,0,88,10,57,8,11,376,0.4771573604060913
31,19,113,48,112,4,11,4,7,1,59,8,87,6,10,489,0.6229299363057325
32,33,109,48,105,7,5,4,15,1,99,14,129,25,12,606,0.6365546218487395
33,25,87,31,78,5,8,1,6,0,127,3,123,11,11,516,0.6231884057971014
34,21,77,38,119,8,8,2,5,0,77,4,89,13,20,481,0.548460661345496
35,13,124,69,149,7,11,5,12,1,60,1,55,7,6,520,0.6451612903225806
36,24,74,33,62,3,4,8,12,0,93,0,97,19,11,440,0.5263157894736842
37,27,113,28,77,3,7,2,14,1,60,4,120,24,19,499,0.6229712858926342
38,27,116,43,105,6,15,6,9,1,69,7,147,8,16,575,0.6482525366403608
39,33,103,28,100,9,11,5,5,1,117,2,160,22,25,621,0.649581589958159
40,22,93,25,78,0,4,3,5,2,65,3,99,15,18,432,0.5661861074705111
41,23,81,24,88,3,6,4,4,0,83,3,127,37,13,496,0.5842167255594818
42,29,97,31,68,6,3,0,5,0,102,3,100,11,23,478,0.5340782122905028
43,38,116,44,78,2,4,5,3,1,60,4,100,12,12,479,0.6570644718792867
44,13,100,30,77,14,1,1,8,1,84,4,104,15,15,467,0.5859473023839398
45,16,32,21,54,10,5,2,6,0,156,2,59,23,11,397,0.5044472681067345
46,27,54,13,61,5,1,5,8,0,130,1,122,26,21,474,0.5524475524475524
47,22,46,20,61,12,1,5,2,0,107,2,109,26,15,428,0.4908256880733945
48,23,64,21,47,11,4,2,9,0,118,2,85,21,19,426,0.5265760197775031
49,26,33,13,37,6,4,6,5,0,128,1,67,15,8,349,0.4840499306518724
50,19,88,27,88,8,3,4,8,2,80,0,93,9,16,445,0.536144578313253
51,19,108,75,138,5,2,4,8,0,49,5,104,18,10,545,0.6322505800464037
52,13,84,37,116,2,7,4,8,0,41,4,58,8,11,393,0.6169544740973313
53,24,114,40,98,5,11,2,7,1,71,9,137,22,12,553,0.6505882352941177
54,12,47,29,84,8,8,5,3,0,81,1,92,11,4,385,0.5746268656716418
55,22,56,19,60,3,6,5,9,0,127,2,164,48,13,534,0.5516528925619835
56,44,32,21,48,14,8,14,4,1,130,0,102,48,13,479,0.6017587939698492
57,20,56,10,77,6,1,8,2,1,88,3,92,23,13,400,0.5398110661268556
58,25,41,20,39,5,5,6,3,0,128,1,80,28,12,393,0.4869888475836431
59,18,63,32,49,9,4,3,10,0,102,10,88,20,10,418,0.5365853658536586
60,19,22,14,52,12,4,4,4,0,124,0,38,31,5,329,0.4754335260115607
61,7,22,20,30,9,1,2,5,0,101,7,63,19,8,294,0.3808290155440414
62,11,8,27,24,5,5,1,7,1,155,1,51,9,9,314,0.4385474860335195
63,3,8,16,45,4,5,1,3,1,124,2,31,11,3,257,0.3996889580093312
64,15,2,23,36,6,3,2,3,0,133,2,42,23,5,295,0.3545673076923077
65,13,12,23,51,18,6,1,4,1,158,5,47,36,3,378,0.4060150375939849
66,1,7,11,12,6,3,1,5,0,123,1,12,7,5,194,0.2701949860724233
67,8,15,15,15,5,2,1,8,0,167,0,53,7,3,299,0.3976063829787234
68,16,12,22,28,9,4,1,11,1,164,1,46,18,5,338,0.4177997527812114
69,14,11,33,38,15,3,5,11,0,188,0,45,19,14,396,0.4342105263157895
70,22,13,24,44,9,5,3,10,0,203,1,28,15,1,378,0.3974763406940063
71,16,12,24,50,11,4,3,7,0,183,4,45,14,11,384,0.4178454842219804
72,13,5,15,30,14,5,1,11,0,202,2,39,14,6,357,0.3818181818181818
73,13,8,25,29,11,5,0,9,0,199,4,26,13,8,350,0.3796095444685466
74,18,5,31,27,8,2,1,7,2,203,0,38,18,9,369,0.3855799373040752
75,5,12,3,18,2,0,0,1,1,51,0,33,2,3,131,0.458041958041958
76,25,39,14,45,4,9,6,5,0,109,0,124,29,11,420,0.5128205128205128
77,15,12,15,37,5,4,5,5,0,100,0,81,31,12,322,0.4009962640099626
78,14,24,14,41,4,1,2,1,0,71,2,83,13,7,277,0.5517928286852589
79,15,31,19,36,7,3,1,5,0,120,0,53,21,3,314,0.4385474860335195
80,11,11,3,11,4,0,5,3,0,54,3,29,8,3,145,0.3746770025839793
81,21,27,20,48,3,4,3,7,1,70,5,80,17,19,325,0.6063432835820896
82,16,14,12,43,14,9,3,10,1,142,0,57,24,7,352,0.4601307189542483
83,24,14,16,39,14,2,4,12,1,201,0,51,20,6,404,0.4019900497512438
84,10,24,11,34,9,1,1,5,0,119,0,65,19,8,306,0.4872611464968153
85,19,18,14,33,15,5,5,6,0,198,2,70,27,8,420,0.4276985743380855
86,19,15,13,46,6,4,1,5,2,156,0,83,34,16,400,0.4479283314669653
87,16,38,24,63,13,4,7,10,0,197,6,124,43,16,561,0.5389048991354467
88,37,34,31,50,21,4,5,6,0,212,2,106,26,14,548,0.5399014778325123
89,17,9,12,20,15,7,3,15,1,182,0,44,29,8,362,0.4719687092568448
90,20,11,21,35,10,1,5,5,0,111,2,46,26,6,299,0.4241134751773049
91,11,4,7,16,16,0,5,1,1,151,0,35,13,1,261,0.381021897810219
92,13,11,7,20,9,0,1,6,0,160,2,25,17,0,271,0.4435351882160392
93,20,36,17,49,13,4,10,1,1,152,1,72,23,10,409,0.5093399750933998
94,12,14,18,42,13,6,3,5,0,192,1,60,24,6,396,0.4841075794621027
95,35,26,30,57,4,6,7,3,1,162,1,96,38,6,472,0.5221238938053098
96,22,10,14,53,9,9,5,8,0,173,3,70,31,4,411,0.4945848375451263
97,23,36,22,59,2,5,5,7,0,102,0,87,17,10,375,0.4844961240310077
98,31,30,27,54,7,7,7,16,2,198,7,111,54,12,563,0.5067506750675067
99,29,42,26,64,8,8,3,9,1,171,4,136,30,13,544,0.5726315789473684
100,15,28,16,48,7,10,5,4,0,155,1,58,13,0,360,0.4374240583232078
101,14,26,17,72,5,3,3,2,0,174,1,93,40,13,463,0.5383720930232558
